year;iso;mode;SSP1_noCOVID;SSP2_noCOVID;SSP5_noCOVID;SSP1;SSP2;SSP5
2010;AND;entrp_pass_lo;4954.117825;4954.117825;4954.117825;4954.117825;4954.117825;4954.117825
2015;AND;entrp_pass_lo;5014.568289;5014.568289;5014.568289;5014.568289;5014.568289;5014.568289
2020;AND;entrp_pass_lo;4689.944646;4689.944646;4689.944646;4689.944646;4689.944646;4689.944646
2025;AND;entrp_pass_lo;4365.321002;4365.321002;4365.321002;4365.321002;4365.321002;4365.321002
2030;AND;entrp_pass_lo;4040.697358;4040.697358;4040.697358;4040.697358;4040.697358;4040.697358
2035;AND;entrp_pass_lo;3716.073715;3716.073715;3716.073715;3716.073715;3716.073715;3716.073715
2040;AND;entrp_pass_lo;3391.450071;3391.450071;3391.450071;3391.450071;3391.450071;3391.450071
2045;AND;entrp_pass_lo;3066.826427;3066.826427;3066.826427;3066.826427;3066.826427;3066.826427
2050;AND;entrp_pass_lo;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784
2055;AND;entrp_pass_lo;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784
2060;AND;entrp_pass_lo;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784
2070;AND;entrp_pass_lo;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784
2080;AND;entrp_pass_lo;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784
2090;AND;entrp_pass_lo;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784
2100;AND;entrp_pass_lo;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784
2110;AND;entrp_pass_lo;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784
2130;AND;entrp_pass_lo;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784
2150;AND;entrp_pass_lo;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784;2742.202784
1965;ARE;entrp_pass_lo;11878.91977;11878.91977;11878.91977;11878.91977;11878.91977;11878.91977
1970;ARE;entrp_pass_lo;17950.59335;17950.59335;17950.59335;17950.59335;17950.59335;17950.59335
1975;ARE;entrp_pass_lo;37616.31023;37616.31023;37616.31023;37616.31023;37616.31023;37616.31023
1980;ARE;entrp_pass_lo;77146.68348;77146.68348;77146.68348;77146.68348;77146.68348;77146.68348
1985;ARE;entrp_pass_lo;69296.24303;69296.24303;69296.24303;69296.24303;69296.24303;69296.24303
1990;ARE;entrp_pass_lo;79320.16318;79320.16318;79320.16318;79320.16318;79320.16318;79320.16318
1995;ARE;entrp_pass_lo;94987.32796;94987.32796;94987.32796;94987.32796;94987.32796;94987.32796
2000;ARE;entrp_pass_lo;122179.9917;122179.9917;122179.9917;122179.9917;122179.9917;122179.9917
2005;ARE;entrp_pass_lo;199458.7471;199458.7471;199458.7471;199458.7471;199458.7471;199458.7471
2010;ARE;entrp_pass_lo;382269.1949;382269.1949;382269.1949;382269.1949;382269.1949;382269.1949
2015;ARE;entrp_pass_lo;456672.6996;456672.6996;456672.6996;456672.6996;456672.6996;456672.6996
2020;ARE;entrp_pass_lo;550738.5997;552303.0283;569853.7425;550738.5997;552303.0283;569853.7425
2025;ARE;entrp_pass_lo;664319.4997;660556.3569;722712.7855;664319.4997;660556.3569;722712.7855
2030;ARE;entrp_pass_lo;797360.3998;779345.6855;923529.8284;797360.3998;779345.6855;923529.8284
2035;ARE;entrp_pass_lo;934369.2998;894803.0141;1161588.871;934369.2998;894803.0141;1161588.871
2040;ARE;entrp_pass_lo;1066079.2;1008340.343;1415071.914;1066079.2;1008340.343;1415071.914
2045;ARE;entrp_pass_lo;1179234.1;1111235.671;1659278.957;1179234.1;1111235.671;1659278.957
2050;ARE;entrp_pass_lo;1266675;1201108;1875453;1266675;1201108;1875453
2055;ARE;entrp_pass_lo;1343919;1290481;2073427;1343919;1290481;2073427
2060;ARE;entrp_pass_lo;1421730;1388918;2269341;1421730;1388918;2269341
2070;ARE;entrp_pass_lo;1535672;1572360;2606055;1535672;1572360;2606055
2080;ARE;entrp_pass_lo;1569904;1712851;2826731;1569904;1712851;2826731
2090;ARE;entrp_pass_lo;1550719;1806866;2972880;1550719;1806866;2972880
2100;ARE;entrp_pass_lo;1486250;1855778;3029692;1486250;1855778;3029692
2110;ARE;entrp_pass_lo;1486250;1855778;3029692;1486250;1855778;3029692
2130;ARE;entrp_pass_lo;1486250;1855778;3029692;1486250;1855778;3029692
2150;ARE;entrp_pass_lo;1486250;1855778;3029692;1486250;1855778;3029692
1965;ARG;entrp_pass_lo;161264.8266;161264.8266;161264.8266;161264.8266;161264.8266;161264.8266
1970;ARG;entrp_pass_lo;196464.4604;196464.4604;196464.4604;196464.4604;196464.4604;196464.4604
1975;ARG;entrp_pass_lo;228128.755;228128.755;228128.755;228128.755;228128.755;228128.755
1980;ARG;entrp_pass_lo;258602.416;258602.416;258602.416;258602.416;258602.416;258602.416
1985;ARG;entrp_pass_lo;236389.5415;236389.5415;236389.5415;236389.5415;236389.5415;236389.5415
1990;ARG;entrp_pass_lo;240392.0778;240392.0778;240392.0778;240392.0778;240392.0778;240392.0778
1995;ARG;entrp_pass_lo;324403.3606;324403.3606;324403.3606;324403.3606;324403.3606;324403.3606
2000;ARG;entrp_pass_lo;367823.3748;367823.3748;367823.3748;367823.3748;367823.3748;367823.3748
2005;ARG;entrp_pass_lo;413036.5704;413036.5704;413036.5704;413036.5704;413036.5704;413036.5704
2010;ARG;entrp_pass_lo;559526.8985;559526.8985;559526.8985;559526.8985;559526.8985;559526.8985
2015;ARG;entrp_pass_lo;659042.5967;659042.5967;659042.5967;659042.5967;659042.5967;659042.5967
2020;ARG;entrp_pass_lo;812603.6543;816018.2258;812772.2258;812603.6543;816018.2258;812772.2258
2025;ARG;entrp_pass_lo;994086.7119;985132.8548;1011610.855;994086.7119;985132.8548;1011610.855
2030;ARG;entrp_pass_lo;1202419.77;1163938.484;1268235.484;1202419.77;1163938.484;1268235.484
2035;ARG;entrp_pass_lo;1435751.827;1350086.113;1575489.113;1435751.827;1350086.113;1575489.113
2040;ARG;entrp_pass_lo;1673348.885;1536853.742;1894318.742;1673348.885;1536853.742;1894318.742
2045;ARG;entrp_pass_lo;1899989.942;1721665.371;2209745.371;1899989.942;1721665.371;2209745.371
2050;ARG;entrp_pass_lo;2112170;1911358;2519476;2112170;1911358;2519476
2055;ARG;entrp_pass_lo;2302356;2098052;2818433;2302356;2098052;2818433
2060;ARG;entrp_pass_lo;2478593;2288136;3115023;2478593;2288136;3115023
2070;ARG;entrp_pass_lo;2778376;2671430;3688780;2778376;2671430;3688780
2080;ARG;entrp_pass_lo;2983801;3041834;4196290;2983801;3041834;4196290
2090;ARG;entrp_pass_lo;3111058;3411146;4650812;3111058;3411146;4650812
2100;ARG;entrp_pass_lo;3156007;3776697;5032978;3156007;3776697;5032978
2110;ARG;entrp_pass_lo;3156007;3776697;5032978;3156007;3776697;5032978
2130;ARG;entrp_pass_lo;3156007;3776697;5032978;3156007;3776697;5032978
2150;ARG;entrp_pass_lo;3156007;3776697;5032978;3156007;3776697;5032978
1965;ARM;entrp_pass_lo;3397.84846;3397.84846;3397.84846;3397.84846;3397.84846;3397.84846
1970;ARM;entrp_pass_lo;5120.293981;5120.293981;5120.293981;5120.293981;5120.293981;5120.293981
1975;ARM;entrp_pass_lo;6685.037408;6685.037408;6685.037408;6685.037408;6685.037408;6685.037408
