year;sector;reference_demand_goessling et.al;reference_demand_JADC;reference AIM, SSP2;reference AIM, SSP1;reference AIM, SSP5
2082;trn_aviation_intl;;;;;
2082;trn_aviation_intl_B;;;;;
2082;trn_aviation_intl_d_B;;;;;
2082;trn_aviation_intl_d_L;;;;;
2082;trn_aviation_intl_L;;;;;
2083;trn_aviation_intl;;;;;
2083;trn_aviation_intl_B;;;;;
2083;trn_aviation_intl_d_B;;;;;
2083;trn_aviation_intl_d_L;;;;;
2083;trn_aviation_intl_L;;;;;
2084;trn_aviation_intl;;;;;
2084;trn_aviation_intl_B;;;;;
2084;trn_aviation_intl_d_B;;;;;
2084;trn_aviation_intl_d_L;;;;;
2084;trn_aviation_intl_L;;;;;
2085;trn_aviation_intl;;;;;
2085;trn_aviation_intl_B;;;;;
2085;trn_aviation_intl_d_B;;;;;
2085;trn_aviation_intl_d_L;;;;;
2085;trn_aviation_intl_L;;;;;
2086;trn_aviation_intl;;;;;
2086;trn_aviation_intl_B;;;;;
2086;trn_aviation_intl_d_B;;;;;
2086;trn_aviation_intl_d_L;;;;;
2086;trn_aviation_intl_L;;;;;
2087;trn_aviation_intl;;;;;
2087;trn_aviation_intl_B;;;;;
2087;trn_aviation_intl_d_B;;;;;
2087;trn_aviation_intl_d_L;;;;;
2087;trn_aviation_intl_L;;;;;
2088;trn_aviation_intl;;;;;
2088;trn_aviation_intl_B;;;;;
2088;trn_aviation_intl_d_B;;;;;
2088;trn_aviation_intl_d_L;;;;;
2088;trn_aviation_intl_L;;;;;
2089;trn_aviation_intl;;;;;
2089;trn_aviation_intl_B;;;;;
2089;trn_aviation_intl_d_B;;;;;
2089;trn_aviation_intl_d_L;;;;;
2089;trn_aviation_intl_L;;;;;
2090;trn_aviation_intl;;;;;
2090;trn_aviation_intl_B;;;;;
2090;trn_aviation_intl_d_B;;;;;
2090;trn_aviation_intl_d_L;;;;;
2090;trn_aviation_intl_L;;;;;
2091;trn_aviation_intl;;;;;
2091;trn_aviation_intl_B;;;;;
2091;trn_aviation_intl_d_B;;;;;
2091;trn_aviation_intl_d_L;;;;;
2091;trn_aviation_intl_L;;;;;
2092;trn_aviation_intl;;;;;
2092;trn_aviation_intl_B;;;;;
2092;trn_aviation_intl_d_B;;;;;
2092;trn_aviation_intl_d_L;;;;;
2092;trn_aviation_intl_L;;;;;
2093;trn_aviation_intl;;;;;
2093;trn_aviation_intl_B;;;;;
2093;trn_aviation_intl_d_B;;;;;
2093;trn_aviation_intl_d_L;;;;;
2093;trn_aviation_intl_L;;;;;
2094;trn_aviation_intl;;;;;
2094;trn_aviation_intl_B;;;;;
2094;trn_aviation_intl_d_B;;;;;
2094;trn_aviation_intl_d_L;;;;;
2094;trn_aviation_intl_L;;;;;
2095;trn_aviation_intl;;;;;
2095;trn_aviation_intl_B;;;;;
2095;trn_aviation_intl_d_B;;;;;
2095;trn_aviation_intl_d_L;;;;;
2095;trn_aviation_intl_L;;;;;
2096;trn_aviation_intl;;;;;
2096;trn_aviation_intl_B;;;;;
2096;trn_aviation_intl_d_B;;;;;
2096;trn_aviation_intl_d_L;;;;;
2096;trn_aviation_intl_L;;;;;
2097;trn_aviation_intl;;;;;
2097;trn_aviation_intl_B;;;;;
2097;trn_aviation_intl_d_B;;;;;
2097;trn_aviation_intl_d_L;;;;;
2097;trn_aviation_intl_L;;;;;
2098;trn_aviation_intl;;;;;
2098;trn_aviation_intl_B;;;;;
2098;trn_aviation_intl_d_B;;;;;
2098;trn_aviation_intl_d_L;;;;;
2098;trn_aviation_intl_L;;;;;
2099;trn_aviation_intl;;;;;
2099;trn_aviation_intl_B;;;;;
2099;trn_aviation_intl_d_B;;;;;
2099;trn_aviation_intl_d_L;;;;;
2099;trn_aviation_intl_L;;;;;
2100;trn_aviation_intl;;;;;
2100;trn_aviation_intl_B;;;;;
2100;trn_aviation_intl_d_B;;;;;
2100;trn_aviation_intl_d_L;;;;;
2100;trn_aviation_intl_L;;;;;
